TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,23201,9.041667,53.675,1,1960 - 1987,0.2306,0.0051
Impatiens glandulifera,3063,23202,9.125,53.675,1,1960 - 1987,0.2226,0.0049
Impatiens glandulifera,3063,23203,9.041667,53.625,1,1960 - 1987,0.2447,0.0054
Impatiens glandulifera,3063,23204,9.125,53.625,1,1960 - 1987,0.2458,0.0054
Impatiens glandulifera,3063,23211,9.208333,53.675,1,1960 - 1987,0.3129,0.0065
Impatiens glandulifera,3063,23212,9.291667,53.675,1,1960 - 1987,0.3175,0.0066
Impatiens glandulifera,3063,23213,9.208333,53.625,1,1960 - 1987,0.3283,0.0068
Impatiens glandulifera,3063,23214,9.291667,53.625,1,1960 - 1987,0.3234,0.0067
Impatiens glandulifera,3063,23221,9.375,53.675,1,1960 - 1987,0.3172,0.0066
Impatiens glandulifera,3063,23222,9.458333,53.675,1,1960 - 1987,0.3078,0.0064
Impatiens glandulifera,3063,23223,9.375,53.625,1,1960 - 1987,0.3904,0.0076
Impatiens glandulifera,3063,23224,9.458333,53.625,1,1960 - 1987,0.3649,0.0073
Impatiens glandulifera,3063,23231,9.541667,53.675,1,1960 - 1987,0.3472,0.007
Impatiens glandulifera,3063,23232,9.625,53.675,1,1960 - 1987,0.3263,0.0067
Impatiens glandulifera,3063,23233,9.541667,53.625,1,1960 - 1987,0.3861,0.0076
Impatiens glandulifera,3063,23234,9.625,53.625,1,1960 - 1987,0.3927,0.0077
Impatiens glandulifera,3063,23241,9.708333,53.675,1,1960 - 1987,0.2705,0.0058
Impatiens glandulifera,3063,23242,9.791667,53.675,1,1960 - 1987,0.285,0.0061
Impatiens glandulifera,3063,23243,9.708333,53.625,1,1960 - 1987,0.2673,0.0058
Impatiens glandulifera,3063,23244,9.791667,53.625,1,1960 - 1987,0.3166,0.0066
Impatiens glandulifera,3063,23251,9.875,53.675,1,1960 - 1987,0.2483,0.0054
Impatiens glandulifera,3063,23252,9.958333,53.675,1,1960 - 1987,0.3158,0.0066
Impatiens glandulifera,3063,23253,9.875,53.625,1,1960 - 1987,0.3825,0.0075
