Taxon_deutsch,Taxon_wissensch
Eurasischer Luchs,Lynx lynx
Schwarzaugen-Bindenspanner,Cosmorhoe ocellata
Gestreifte Luchsspinne,Oxyopes lineatus
,Graptopeltus lynceus
,Lynx
,Lynx lynx lynx
,Oxyopes
,Lynx lynx carpathicus
Karakal,Caracal caracal
Rotluchs,Lynx rufus
Gelbe Scheincalla,Lysichiton americanus
Punktierter Gilbweiderich,Lysimachia punctata
Kanarenspringer,Macaroeris nidicolens
Bennetkänguruh,Macropus rufogriseus
Rotnacken-Wallaby,Notamacropus rufogriseus
Rotnacken-Wallaby,Notamacropus rufogriseus rufogriseus
Gewöhnliche Mahonie,Mahonia aquifolium
Kultur-Apfel,Malus domestica
Quirl-Malve,Malva verticillata
,Malva verticillata verticillata
Strahlenlose Kamille,Matricaria discoidea
Arabischer Schneckenklee,Medicago arabica
Rauer Schneckenklee,Medicago polymorpha
Echte Luzerne,Medicago sativa
Hohes Perlgras,Melica altissima
Kleinblütiger Steinklee,Melilotus indicus
Zitronen-Melisse,Melissa officinalis
Pfeffer-Minze,Mentha piperita
Pfeffer-Minze,Mentha × piperita
,Mentha piperita piperita
,Mentha piperita citrata
Grüne Minze,Mentha spicata
Ross-Minze,Mentha longifolia
,Mentha × villosa-nervata
falsche Apfel-Minze,Mentha × rotundifolia
,Mentha spicata spicata
Hain-Minze,Mentha villosa
Hain-Minze,Mentha × villosa
Amerikanische Zwergspinne,Mermessus trilobatus
,Metcalfa pruinosa
,Miscanthus sacchariflorus
Gewöhnliches Chinaschilf,Miscanthus sinensis
Schwarzer Maulbeerbaum,Morus nigra
,Muscari armeniacum
Aucher-Träubel,Muscari aucheri
"Amerikanische Nerz, Amerikanische Mink",Mustela vison
,Neogale vison
Hohldotter,Myagrum perfoliatum
Nutria,Myocastor coypus
Brasilianisches Tausendblatt,Myriophyllum aquaticum
Verschiedenblättriges Tausendblatt,Myriophyllum heterophyllum
,Narcissus incomparabilis
,Narcissus × incomparabilis
Schwarzmund-Grundel,Neogobius melanostomus
blaue Katzenminze,Nepeta faassenii
blaue Katzenminze,Nepeta × faassenii
traubige Katzenminze,Nepeta racemosa
,Nepeta racemosa racemosa
Giftbeere,Nicandra physalodes
Gelbes Mönchskraut,Nonea lutea
Verschiedenfarbiges Mönchskraut,Nonea versicolor
,Nothophaeocryptopus gaeumannii
Marderhund,Nyctereutes procyonoides
,Nyctereutes procyonoides ussuriensis
,Obolodiplosis robiniae
Großer Sattelkanker,Odiellus spinosus
,Odontarrhena muralis
Spitzblättrige Nachtkerze,Oenothera acutifolia
,Oenothera albipercurva
Sand-Nachtkerze,Oenothera ammophila
Küsten-Nachtkerze,Oenothera oakesiana
Gewöhnliche Nachtkerze,Oenothera biennis
Graublättrige Nachtkerze,Oenothera villosa
Wollige Nachtkerze,Oenothera villosa villosa
Kronen-Nachtkerze,Oenothera coronifera
Rotkelchige Nachtkerze,Oenothera glazioviana
Täuschende Nachtkerze,Oenothera fallax
Täuschende Nachtkerze,Oenothera × fallax
Hoelscher-Nachtkerze,Oenothera hoelscheri
Issler-Nachtkerze,Oenothera issleri
Kleinblütige Nachtkerze,Oenothera parviflora
Feinpunktierte Nachtkerze,Oenothera punctulata
Dichtfrüchtige Nachtkerze,Oenothera pycnocarpa
Royfraser-Nachtkerze,Oenothera royfraseri
Rotstängel-Nachtkerze,Oenothera rubricaulis
Wohlriechende Nachtkerze,Oenothera suaveolens
Frühlings-Gedenkemein,Omphalodes verna
Forelle,Oncorhynchus mykiss
Bisamratte,Ondatra zibethicus
,Ondatra zibethicus zibethicus
Futter-Esparsette,Onobrychis viciifolia
Apenninenkanker,Opilio canestrinii
Orientzirpe,Orientus ishidae
,Origanum vulgare hirtum
